sep=	
Project Name:	C:\SharedFolder\CControl_Lite\PLC\CControl_Lite.plcprj
Export Date/Time:	2026/06/18 13:59:45
RowType	Name	Type	ElementType	Dimensions	InitialValue	RetentiveEnabled	FolderName	BindType	BindObject	BindField	BindIsArray	BindValue	BindDirection	BindConverter	HasInputRange	MinValue	MaxValue	Target	Source	AddressEnabled	Address	HasBinding	VariableLength	NumberOfBytes	StringEncode	HasAlarm	AlarmType	HiHiThresholdState	HiHiThreshold	HiHiThresholdValue	HiHiThresholdDeadBand	HiHiThresholdAlarmGroup	HiHiThresholdMessageMode	HiHiThresholdMessage	HiHiThresholdSeverity	HiHiThresholdParameter	HiThresholdState	HiThreshold	HiThresholdValue	HiThresholdDeadBand	HiThresholdAlarmGroup	HiThresholdMessageMode	HiThresholdMessage	HiThresholdSeverity	HiThresholdParameter	LoThresholdState	LoThreshold	LoThresholdValue	LoThresholdDeadBand	LoThresholdAlarmGroup	LoThresholdMessageMode	LoThresholdMessage	LoThresholdSeverity	LoThresholdParameter	LoloThresholdState	LoloThreshold	LoloThresholdValue	LoloThresholdDeadBand	LoloThresholdAlarmGroup	LoloThresholdMessageMode	LoloThresholdMessage	LoloThresholdSeverity	LoloThresholdParameter	ThresholdState	ThresholdType	ThresholdCondition	ThresholdAlarmGroup	ThresholdMessageMode	ThresholdMessage	ThresholdSeverity	ThresholdParameter	DataSharing	LoggingGroup	Comments	
Variable	CControl_Lite_Par_Heizregister_rRes1	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416499"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_rRes2	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416501"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_AutomatikbetriebEin	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416503,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_DauerbetriebEin	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416504,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_xRes1	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416505,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Heizregister_xRes2	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416506,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Entfeuchter_FeuchteEinschalt	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416507"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Entfeuchter_FeuchteAusschalt	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416509"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Entfeuchter_rRes1	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416511"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_Par_Entfeuchter_rRes2	REAL				False												HMIDT542+HMIG3U	CControl_Lite	False	="416513"	False	False										Direct									Direct									Direct									Direct									Direct			None		
